street,number,neighborhood,city,state,country,zipcode,store_id,store_name
17398,,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,Brasil,22790-570,435,SUSM GRALA
17398,,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,Brasil,22790-570,439,CILAFIRMAI CIOLA 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,446,SIRLE FRA 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,447,PA PISACI 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,453,IRULAU CRUPURAU 
Praia de Botafogo,,Rio de Janeiro,Rio de Janeiro,22250-150,Brasil,22250-150,462,CIFUAMI 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,476,PIARI FLIRUS 
Hospital Beneficência Portuguesa,769,Rua Maestro Cardim,Morro dos Ingleses,Bela Vista,Brasil,01323-001,482,GIPUMZIGUM OPASI RIUSARI CIREARA 
Shopping Millennium,7707,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,490,MATATA 
17398,,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,Brasil,22790-570,491,I CISI DA PAMPE 
Hospital Beneficência Portuguesa,769,Rua Maestro Cardim,Morro dos Ingleses,Bela Vista,Brasil,01323-001,493,PAZZI ZUM 
323,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01322-010,495,IUMPICA 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,496,IUMPICA 
Leroy Merlin,,Cachambi,Rio de Janeiro,Rio de Janeiro,Brasil,20771-580,497,CISI DA URPIOU 
Hospital Beneficência Portuguesa,769,Rua Maestro Cardim,Morro dos Ingleses,Bela Vista,Brasil,01323-001,501,RISIRA 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,508,GROI USPRUSSI 
Praia de Botafogo,,Rio de Janeiro,Rio de Janeiro,22250-150,Brasil,22250-150,515,GULIMURAI RE 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,520,IRIR OIS PUOUMIS 
Aguiarcycles,1092,Rua Mariante,Rio Branco,Porto Alegre,Brasil,90420-150,524,ILA RIERUGI 
Hospital Beneficência Portuguesa,769,Rua Maestro Cardim,Morro dos Ingleses,Bela Vista,Brasil,01323-001,525,PUCIRAMI  
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,529,GULIMURAI RE 
17398,,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,Brasil,22790-570,531,CISUMPES 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-001,Brasil,20771-001,532,SIRLE FRA 
Shopping Millennium,7707,Avenida das Américas,Américas Park,Barra da Tijuca,Brasil,22793-081,540,UMIG 
Aguiarcycles,1092,Rua Mariante,Rio Branco,Porto Alegre,Brasil,90420-150,545,IAMUR 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,555,RIGU I CIGU 
525,,Rio Branco,Porto Alegre,Rio Grande do Sul,Brasil,90630-160,563,MZU PLICA PAF 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,564,PUMGUA 
Hotel Ramada,19021,Avenida das Américas,Recreio dos Bandeirantes,Rio de Janeiro,Brasil,22790-703,582,SPILUMI 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,585,MUMRIFAM 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,586,GULIMI PIRULA 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,587,PIARO 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,590,VUG UP 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,591,MZU SUACU LIP 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,595,ZIVIMUI 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,599,LIFM 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,600,GRIME CRU 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,603,GRIME CRU 
Hotel Ramada,19021,Avenida das Américas,Recreio dos Bandeirantes,Rio de Janeiro,Brasil,22790-703,604,SIRVUMU AMILAI 
Hotel Ramada,19021,Avenida das Américas,Recreio dos Bandeirantes,Rio de Janeiro,Brasil,22790-703,605,MIMAMI SAMU VAMUIGU 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,606,MAP MIP 
,,,,,,,607,ECILUMI MI LISI FASACIO PASCIAMO 
Botafogo Praia Shopping,400,Praia de Botafogo,Botafogo,Rio de Janeiro,Brasil,22250-040,616,CILAFIRMAI CIOLA 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,622,PASCIAMO 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,623,SUPSIO 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,624,SPILUMI 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,626,MUMRIFAM 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,627,FAM RIRGUM 
Rua Engenheiro Enaldo Cravo Peixoto,,Rio de Janeiro,Rio de Janeiro,20530-230,Brasil,20530-230,629,RIARI SIARI 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,631,IUMPICA 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,632,IPUPIEMAI 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,633,ZIVIMUI 
Shopping Vila Olímpia,360,Rua Olimpíadas,Vila Olímpia,Itaim Bibi,Brasil,04551-000,640,GRIME CRU 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,641,MUMRIFAM 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,644,USARULI DA SUA
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,646,PASCIAMU 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,648,PIPRU SUIM 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,651,SIZMUO RICAUMS 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,652,MUMRIFAM 
525,,Rio Branco,Porto Alegre,Rio Grande do Sul,Brasil,90630-160,656,IPALUPAES 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,657,RIGAC FAM 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,658,IUMPICA 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,659,IPUPIEMAI 
Via B,,Vargem Pequena,Rio de Janeiro,Rio de Janeiro,Brasil,22790-790,660,FIRIFI CIRAICI 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,661,RA VACAI EUSEU I AMACAI 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,666,RIZI 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,669,PUPALUGALA
Bradesco,,Rua Nelson Mandela,Botafogo,Rio de Janeiro,Brasil,22260-005,673,MIZPIZ 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,674,AR TRAMUO 
Rua Itacaiúna,,São Paulo,São Paulo,05716-150,Brasil,05716-150,676,IUMPICA 
Pacheco,,Rua Nelson Mandela,Botafogo,Rio de Janeiro,Brasil,22260-001,678,MZU PIUI 
Botafogo Praia Shopping,400,Praia de Botafogo,Botafogo,Rio de Janeiro,Brasil,22250-040,679,ZIRIE 
Downtown,500,Avenida das Américas,Jardim Oceânico,Barra da Tijuca,Brasil,22640-100,681,CISI DA POI EU QUASI 
Hospital Sancta Maggiore Paraíso,1137,Rua Maestro Cardim,Bela Vista,Vila Mariana,Brasil,01323-001,682,MISMO GRALA
Ponto de Táxi Shopping Santa Cruz,2560,Rua Domingos de Morais,Vila Mariana,São Paulo,Brasil,04036-000,684,RIZIGIMO 
Avenida Luís Carlos Prestes,,Rio de Janeiro,Rio de Janeiro,22640-120,Brasil,22640-120,685,CICIU SZIS 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,686,RIMUIMI GRALA
Ponto de Táxi Shopping Santa Cruz,2560,Rua Domingos de Morais,Vila Mariana,São Paulo,Brasil,04036-000,687,LUPI 
Ponto de Táxi Shopping Santa Cruz,2560,Rua Domingos de Morais,Vila Mariana,São Paulo,Brasil,04036-000,689,RIRIMI 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,690,EAVAMI FIGOI 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,692,PIULIMGURAU CIRAICI 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,693,EURECA 
Downtown,500,Avenida das Américas,Jardim Oceânico,Barra da Tijuca,Brasil,22640-100,695,PILAS SUCIS 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,697,ZIPU 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,700,CZALLA PUIMS 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,701,SMIRPIAMU 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,702,EUCI SGAM 
Ponto de Táxi Shopping Santa Cruz,2560,Rua Domingos de Morais,Vila Mariana,São Paulo,Brasil,04036-000,706,AR CIM 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,707,IUMPICA 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,716,EA CUMUI 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,728,GUMOUA 
Mooca Plaza Shopping,313,Rua Capitão Pacheco e Chaves,Mooca,Vila Prudente,Brasil,03126-000,735,IRIR OIS PUOUMIS 
Hotel Ramada,19021,Avenida das Américas,Recreio dos Bandeirantes,Rio de Janeiro,Brasil,22790-703,739,GIPUMZIGUM 
Academia Kyokushin,370,Avenida Protásio Alves,Rio Branco,Porto Alegre,Brasil,90430-181,745,IGUAI VUMURAMIRAI 
Shopping Villa Lobos,4777,Avenida Doutora Ruth Cardoso,Boaçava,Alto de Pinheiros,Brasil,05477-902,747,IRUZZI 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,748,LI PISMI GAIMOI 
525,,Rio Branco,Porto Alegre,Rio Grande do Sul,Brasil,90630-160,753,PF PIR FIVIR 
Avenida Dom Hélder Câmara,,Rio de Janeiro,Rio de Janeiro,20771-310,Brasil,20771-310,754,GIPUMZIGUM 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,762,CZALLA PUIMS 
Shopping Cidade São Paulo,,Morro dos Ingleses,Bela Vista,São Paulo,Brasil,01405-000,763,CISI PIUEUEMI 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,767,PASSIMA 
Morumbi Shopping,1089,Avenida Roque Petroni Júnior,Santo Amaro,São Paulo,Brasil,04707-900,771,MISQUAMZI DA USQUAMI 
Botafogo Praia Shopping,400,Praia de Botafogo,Botafogo,Rio de Janeiro,Brasil,22250-040,773,OU SALVI 
Rua Felisbela Gonçalves,,Vila Formosa,São Paulo,São Paulo,Brasil,03342-900,780,GARIOLIS 
6708,,Américas Park,Barra da Tijuca,Rio de Janeiro,Brasil,22793-911,783,VUZPI 
